Nucleos,Tempo_Real,Tempo_User,Tempo_Sys
1,0.385738,0.1561,0.00598465
2,0.315489,0.156798,0.00783875
3,0.286858,0.163447,0.0071457
4,0.272158,0.168053,0.00692935
5,0.26682,0.184491,0.00514975
6,0.265924,0.200734,0.00496215
7,0.262851,0.220802,0.00462505
8,0.262443,0.233535,0.00716135
9,0.26054,0.258349,0.0056865
10,0.260299,0.265386,0.0063252
11,0.258108,0.269318,0.00546855
12,0.259645,0.282569,0.00610705
13,0.262645,0.318169,0.0053967
14,0.271024,0.389103,0.0073771
15,0.27955,0.416158,0.00701815
16,0.281624,0.438987,0.00855355
